id,web_name,team_name,position,price,ep_total,exp_minutes
1,Raya,Arsenal,GK,5.5,4.63,72.24876
2,Arrizabalaga,Arsenal,GK,4.5,4.63,71.4906
3,Hein,Arsenal,GK,4.0,4.63,71.47116
4,Setford,Arsenal,GK,4.0,4.63,71.44686
5,Gabriel,Arsenal,DEF,6.0,5.84,68.31297
6,Saliba,Arsenal,DEF,6.0,5.31,68.10642
7,Calafiori,Arsenal,DEF,5.5,5.2,67.50513000000001
8,J.Timber,Arsenal,DEF,5.5,5.07,67.57857000000001
9,Kiwior,Arsenal,DEF,5.5,4.87,67.47759
10,Lewis-Skelly,Arsenal,DEF,5.5,4.84,67.67496000000001
11,White,Arsenal,DEF,5.5,4.63,67.50972000000002
12,Zinchenko,Arsenal,DEF,5.0,5.28,67.49136
13,Clarke,Arsenal,DEF,4.0,4.63,67.50054
14,Kacurri,Arsenal,DEF,4.0,4.63,67.48218
15,Nichols,Arsenal,DEF,4.0,4.63,67.48218
16,Saka,Arsenal,MID,10.0,6.69,62.63244
17,Ødegaard,Arsenal,MID,8.0,4.61,62.059608000000004
18,Madueke,Arsenal,MID,7.0,5.53,61.966944000000005
19,Martinelli,Arsenal,MID,7.0,5.03,61.979580000000006
20,Trossard,Arsenal,MID,7.0,4.52,51.611039999999996
21,Rice,Arsenal,MID,6.5,4.07,62.244936
22,Merino,Arsenal,MID,6.0,4.95,61.945884
23,Fábio Vieira,Arsenal,MID,5.5,2.66,61.9164
24,Nørgaard,Arsenal,MID,5.5,3.72,61.945884
25,Nwaneri,Arsenal,MID,5.5,3.9,61.929036
26,Zubimendi,Arsenal,MID,5.5,2.66,62.009064
27,Nelson,Arsenal,MID,5.0,4.55,61.920612000000006
28,Kabia,Arsenal,MID,4.5,2.66,61.929036
29,Sambi,Arsenal,MID,4.5,2.66,61.920612000000006
30,Havertz,Arsenal,FWD,7.5,4.65,61.97115600000001
31,G.Jesus,Arsenal,FWD,6.5,2.0,0.0
662,Mosquera,Arsenal,DEF,5.5,4.63,67.47759
666,Gyökeres,Arsenal,FWD,9.0,2.0,63.019944
32,Martinez,Aston Villa,GK,5.0,4.38,0.0
33,M.Bizot,Aston Villa,GK,4.5,4.38,80.72496
34,Gauci,Aston Villa,GK,4.0,4.38,0.0
35,Marschall,Aston Villa,GK,4.0,4.38,0.0
36,Cash,Aston Villa,DEF,4.5,4.38,77.57440000000001
37,Digne,Aston Villa,DEF,4.5,5.46,75.06689999999999
38,Konsa,Aston Villa,DEF,4.5,4.64,72.331005
39,Maatsen,Aston Villa,DEF,4.5,5.66,67.51431000000001
40,Mings,Aston Villa,DEF,4.5,4.86,75.0108
41,Pau,Aston Villa,DEF,4.5,4.5,67.49595000000001
42,A.García,Aston Villa,DEF,4.0,4.46,18.746325
43,Alex Moreno,Aston Villa,DEF,4.0,4.81,67.94118
44,Bogarde,Aston Villa,DEF,4.0,4.55,67.48677
45,Sousa,Aston Villa,DEF,4.0,4.38,67.48677
46,Yasin,Aston Villa,DEF,4.0,4.38,67.48218
47,Rogers,Aston Villa,MID,7.0,4.64,73.12188
48,Tielemans,Aston Villa,MID,6.0,3.84,65.46290400000001
49,Bailey,Aston Villa,MID,5.5,4.17,61.93746
50,Buendía,Aston Villa,MID,5.5,2.59,61.92482400000001
51,Iling Jr,Aston Villa,MID,5.5,2.59,61.9164
52,J.Ramsey,Aston Villa,MID,5.5,3.4,61.941672000000004
53,Malen,Aston Villa,MID,5.5,7.67,63.1488
54,McGinn,Aston Villa,MID,5.5,3.76,65.38732200000001
55,Barkley,Aston Villa,MID,5.0,3.23,17.20017
56,Barrenechea,Aston Villa,MID,5.0,2.59,0.0
57,Dobbin,Aston Villa,MID,5.0,2.59,61.920612000000006
58,Kamara,Aston Villa,MID,5.0,2.93,64.21833600000001
59,Onana,Aston Villa,MID,5.0,3.43,67.723032
60,Broggio,Aston Villa,MID,4.5,2.59,61.929036
61,Dendoncker,Aston Villa,MID,4.5,2.59,61.933248000000006
62,Jimoh-Aloba,Aston Villa,MID,4.5,2.59,61.920612000000006
63,Young,Aston Villa,MID,4.5,2.59,61.945884
64,Watkins,Aston Villa,FWD,9.0,4.88,65.428272
65,Redmond,Aston Villa,FWD,4.5,2.0,61.95009600000001
677,Guessand,Aston Villa,MID,6.5,2.59,61.920612000000006
183,Weiss,Burnley,GK,4.5,4.11,71.45172000000001
184,Green,Burnley,GK,4.0,4.11,71.46144
185,Hladký,Burnley,GK,4.0,4.11,71.45172000000001
186,Roberts,Burnley,DEF,4.5,4.11,67.47759
187,Walker,Burnley,DEF,4.5,4.39,68.811325
188,Delcroix,Burnley,DEF,4.0,4.11,67.48677
189,Dodgson,Burnley,DEF,4.0,4.11,0.0
190,Ekdal,Burnley,DEF,4.0,4.11,68.73185
191,Estève,Burnley,DEF,4.0,4.11,69.68555
192,Hartman,Burnley,DEF,4.0,4.11,68.745875
193,Humphreys,Burnley,DEF,4.0,4.11,18.743775
194,Jordan,Burnley,DEF,4.0,4.11,67.48218
195,Lucas Pires,Burnley,DEF,4.0,4.11,67.48218
196,Sambo,Burnley,DEF,4.0,4.11,67.47759
197,Sonne,Burnley,DEF,4.0,4.11,68.727175
198,Tuanzebe,Burnley,DEF,4.0,4.33,67.59234000000001
199,Worrall,Burnley,DEF,4.0,4.11,67.47759
200,Anthony,Burnley,MID,5.5,2.53,63.06729000000001
201,Benson,Burnley,MID,5.5,2.53,61.9164
202,Bruun Larsen,Burnley,MID,5.5,2.53,61.9164
203,Boateng,Burnley,MID,5.0,2.53,61.920612000000006
204,Churlinov,Burnley,MID,5.0,2.53,61.9164
205,Cullen,Burnley,MID,5.0,2.53,63.06300000000001
206,Edwards,Burnley,MID,5.0,2.53,61.920612000000006
207,Hannibal,Burnley,MID,5.0,2.53,63.06729000000001
208,Koleosho,Burnley,MID,5.0,2.53,61.9164
209,Laurent,Burnley,MID,5.0,2.53,63.06300000000001
210,Tchaouna,Burnley,MID,5.0,2.53,61.9164
211,A.Ramsey,Burnley,MID,4.5,2.53,62.34602400000001
212,Adewumi,Burnley,MID,4.5,2.53,0.0
213,Banel,Burnley,MID,4.5,2.53,61.9164
214,Trésor,Burnley,MID,4.5,2.53,61.920612000000006
215,Flemming,Burnley,FWD,5.5,2.0,61.92482400000001
216,Amdouni,Burnley,FWD,5.0,2.0,0.0
217,Foster,Burnley,FWD,5.0,2.0,63.07587000000001
218,Barnes,Burnley,FWD,4.5,2.0,62.025912000000005
219,Obafemi,Burnley,FWD,4.5,2.0,61.93746
470,Dúbravka,Burnley,GK,4.0,4.11,82.775
676,Ugochukwu,Burnley,MID,5.0,2.53,68.796
680,Broja,Burnley,FWD,5.5,2.29,68.81004
66,Neto,Bournemouth,GK,4.5,3.64,0.0
