id,web_name,team_name,position,price,ep_total
381,M.Salah,Liverpool,MID,14.5,7.6
53,Malen,Aston Villa,MID,5.5,7.58
16,Saka,Arsenal,MID,10.0,6.69
426,McAtee,Man City,MID,5.5,6.67
597,Richarlison,Spurs,FWD,6.5,6.31
568,Pedro Porro,Spurs,DEF,5.5,6.05
377,Tsimikas,Liverpool,DEF,5.0,6.04
389,Elliott,Liverpool,MID,5.5,5.97
235,Palmer,Chelsea,MID,10.5,5.93
294,Coleman,Everton,DEF,4.5,5.93
402,Aït-Nouri,Man City,DEF,6.0,5.92
407,Matheus N.,Man City,DEF,5.5,5.85
5,Gabriel,Arsenal,DEF,6.0,5.84
569,Romero,Spurs,DEF,5.0,5.76
580,Johnson,Spurs,MID,7.0,5.74
240,Nkunku,Chelsea,MID,6.0,5.72
372,Robertson,Liverpool,DEF,6.0,5.66
39,Maatsen,Aston Villa,DEF,4.5,5.66
375,Bradley,Liverpool,DEF,5.0,5.65
575,Van de Ven,Spurs,DEF,4.5,5.62
475,Botman,Newcastle,DEF,5.0,5.62
347,Gudmundsson,Leeds,DEF,4.0,5.62
226,Chalobah,Chelsea,DEF,5.0,5.56
18,Madueke,Arsenal,MID,7.0,5.53
409,Stones,Man City,DEF,5.5,5.51
430,Haaland,Man City,FWD,14.0,5.47
384,Gakpo,Liverpool,MID,7.5,5.41
413,Marmoush,Man City,MID,8.5,5.38
256,Muñoz,Crystal Palace,DEF,5.5,5.36
37,Digne,Aston Villa,DEF,4.5,5.35
604,Emerson,West Ham,DEF,4.5,5.35
373,Virgil,Liverpool,DEF,6.0,5.35
505,Milenković,Nott'm Forest,DEF,5.5,5.31
6,Saliba,Arsenal,DEF,6.0,5.31
410,Lewis,Man City,DEF,5.0,5.31
371,Kerkez,Liverpool,DEF,6.0,5.3
224,Cucurella,Chelsea,DEF,6.0,5.3
414,Foden,Man City,MID,8.0,5.29
508,N.Williams,Nott'm Forest,DEF,5.0,5.29
12,Zinchenko,Arsenal,DEF,5.0,5.28
374,Konaté,Liverpool,DEF,5.5,5.28
518,Jota,Nott'm Forest,MID,5.5,5.27
610,Wan-Bissaka,West Ham,DEF,4.5,5.23
573,Spence,Spurs,DEF,4.5,5.22
228,Gusto,Chelsea,DEF,5.0,5.21
7,Calafiori,Arsenal,DEF,5.5,5.2
295,Keane,Everton,DEF,4.5,5.2
225,James,Chelsea,DEF,5.5,5.19
107,Lewis-Potter,Brentford,DEF,5.0,5.19
606,Mavropanos,West Ham,DEF,4.5,5.16
